Wind_Speed,Rotate_Speed,Pitch_Angle,Wind_Direction,Power_Active
8.539276,1751,-0.05,179.7728,1240.161
7.282145,1648,-0.04,186.38,917.8605
7.452483,1674,-0.04,179.716,925.6009
8.04829,1770,-0.05,174.2419,1059.929
7.480475,1579,-0.04,173.4447,929.649
7.670225,1766,-0.03,172.1641,881.5117
7.099414,1545,-0.03,170.911,831.3636
7.444961,1608,-0.01,169.8861,772.7113
7.812696,1699,-0.04,168.3182,867.3925
8.331811,1626,-0.05,170.7053,1126.096
7.574295,1678,-0.05,181.4118,960.4723
7.905416,1685,-0.04,183.5419,996.2589
8.129331,1636,-0.04,174.3941,1104.402
8.870606,1763,1.31,177.0508,1271.01
9.451298,1761,0.41,172.6492,1453.082
8.733138,1765,1.22,176.3487,1239.951
8.403086,1740,-0.04,169.1516,1148.467
7.83483,1754,-0.05,168.3436,970.9822
7.177501,1357,-0.04,188.4662,759.5727
6.598022,1739,-0.05,166.3138,512.9888
7.185274,1755,-0.05,182.5298,718.6131
7.623246,1670,-0.04,173.9932,832.6253
7.081955,1549,-0.05,175.9571,701.798
7.803529,1638,-0.04,166.8483,919.5933
7.548505,1762,0.01,171.5425,798.7634
6.655793,1756,0.63,175.481,534.3908
7.678071,1695,-0.05,164.434,866.6901
7.858634,1531,-0.05,166.9588,843.9148
7.624333,1756,-0.05,172.2526,832.2401
8.647879,1772,0.02,173.8131,1150.377
8.052082,1770,3.93,177.9238,865.0806
7.658909,1636,-0.04,188.2861,878.1162
6.531958,1344,-0.03,173.6395,624.4989
7.703094,1618,-0.05,183.5368,960.9485
7.107131,1767,-0.04,176.2686,665.341
7.586094,1755,0.46,175.7984,907.3193
7.433034,1667,-0.04,169.7245,851.279
6.939345,1494,-0.02,172.5752,713.3578
6.406543,1118,-0.04,192.0778,555.5027
5.42767,1290,-0.04,183.9656,234.9849
5.406679,1062,-0.04,161.049,265.3202
4.856978,1355,-0.04,188.0436,201.6687
4.374924,1057,-0.04,178.2637,132.3014
3.533957,939,-0.01,192.7661,16.84165
3.500633,1059,0.03,192.857,86.06254
3.75577,1141,-0.03,187.598,53.46435
5.207014,1718,1.48,209.4512,228.4456
5.049703,1240,-0.04,169.6036,245.7942
5.801537,1160,-0.03,176.5264,269.3104
5.950459,1406,0.0,185.2778,394.3419
7.159397,1756,-0.04,166.1565,714.3088
4.881043,1063,-0.05,189.617,355.9948
5.854901,1144,-0.01,188.1284,365.5995
7.289104,1762,0.86,165.618,782.1633
4.834851,1070,-0.05,176.0116,269.2746
4.993211,1126,-0.05,181.7619,203.3646
4.819167,1230,-0.02,181.8999,216.7786
5.193628,1339,-0.02,168.3473,266.5292
4.573076,1116,-0.05,177.7983,205.9746
7.142155,1622,-0.04,162.9689,596.4878
6.412218,1057,-0.03,172.2516,649.0975
6.55349,1156,-0.02,183.0719,536.5643
7.999839,1740,-0.05,188.3701,933.6896
8.229581,1769,0.23,166.8799,834.7861
7.988673,1697,-0.03,183.2007,993.9735
8.956288,1770,-0.02,175.8776,1317.736
9.129601,1772,2.93,184.5429,1377.25
10.25177,1769,9.77,179.7137,1659.162
9.87594,1761,0.83,175.5518,1625.879
10.52668,1770,2.1,174.7446,1751.068
9.959548,1772,1.58,193.7188,1527.779
7.441511,1756,0.74,176.596,891.8154
6.42714,1380,-0.03,173.5282,596.0538
6.110739,1048,-0.02,169.7904,441.9681
4.7576,1222,-0.02,188.9589,179.6068
6.644338,1777,2.71,187.49,655.2628
9.095163,1648,-0.05,183.329,1126.115
8.265928,1675,-0.05,184.9944,1084.456
8.481529,1718,-0.05,190.3589,1060.721
8.517406,1717,-0.05,193.1129,1142.939
8.08122,1603,-0.05,181.6929,1010.331
8.132156,1581,-0.05,172.1769,974.8373
8.230459,1772,0.01,173.0795,1073.814
7.932575,1439,-0.04,179.0827,870.4379
7.957069,1670,-0.03,163.1619,952.0094
7.461696,1700,-0.03,171.2672,837.5375
6.305382,1567,-0.05,174.8121,483.9444
7.371742,1649,-0.03,177.1612,824.5768
6.198052,1534,-0.04,178.7085,476.1267
8.046763,1677,-0.02,181.9233,959.6627
6.168226,1574,-0.03,176.9228,459.253
6.470435,1770,3.06,191.4411,513.5891
6.430877,1531,-0.05,175.6359,443.4846
5.944772,1165,-0.05,155.1614,218.0079
6.298356,1203,-0.05,172.3401,442.3258
5.803612,1296,-0.05,184.0181,353.0023
4.96021,1218,-0.05,179.5854,179.1938
6.357919,1528,-0.04,189.9743,495.9828
6.466567,1295,-0.04,197.8833,584.2247
6.29546,1456,-0.05,160.5519,348.1335
5.158787,1062,-0.04,189.2402,259.9774
5.939443,1376,-0.04,173.7931,393.8302
5.306131,1053,-0.04,189.7552,237.9307
5.657359,1143,-0.04,173.0719,268.6479
5.869223,1329,-0.01,179.4442,365.1717
5.331451,1064,0.0,185.1461,282.2554
7.18083,1556,-0.04,197.4738,706.0355
6.251112,1252,-0.03,165.4098,516.9127
6.16622,1371,-0.03,187.6389,463.405
5.732494,1280,-0.02,188.5303,304.1023
6.553008,1303,-0.02,178.0951,545.5761
6.439343,1388,-0.02,182.5387,555.3436
6.717279,1741,-0.05,184.7725,531.3324
6.475188,1453,-0.03,171.2758,551.3145
5.755622,1379,-0.03,184.3253,397.9172
6.87683,1401,-0.02,185.3137,633.4492
7.05049,1539,-0.02,185.3772,776.5431
5.652851,1310,0.0,179.7117,286.8684
6.048381,1347,-0.01,170.5853,372.6205
6.206998,1184,0.0,166.7704,353.6122
6.110705,1350,-0.03,166.5171,477.0887
5.976336,1316,-0.03,183.9892,366.64
5.569413,1116,-0.03,179.1593,346.6865
5.303291,1140,-0.03,175.4218,264.4025
4.827469,1086,-0.03,178.1824,194.4715
4.686754,1062,-0.03,178.3253,203.5035
4.999188,1077,-0.03,177.5855,206.2496
4.47045,1059,-0.03,165.3309,121.1391
4.866807,1062,-0.03,199.5143,143.7148
4.626285,1112,0.0,185.4409,156.5263
3.820387,1059,0.0,164.6423,101.7126
3.341391,998,-0.01,190.0461,102.6328
3.405937,1064,-0.01,201.184,54.90215
4.851363,1089,-0.01,177.2339,197.7319
4.113452,1182,-0.01,190.1651,140.1053
4.677594,1202,-0.04,193.6657,238.342
7.407152,1756,0.23,194.4312,790.131
4.378432,978,-0.05,190.6147,250.6348
4.147126,1184,-0.02,165.8245,36.45101
5.186798,1174,-0.01,169.577,339.3781
4.807114,1281,0.0,198.0066,333.8005
4.90441,1060,-0.02,143.234,159.341
6.657887,1505,-0.04,188.9859,547.416
6.106258,1166,-0.02,158.6701,451.6381
7.262346,1408,-0.04,174.7544,845.8167
8.675612,1653,-0.04,168.1114,1234.306
4.577293,1037,-0.02,200.3234,124.2042
4.287102,1133,-0.02,180.0649,197.1574
6.695009,1545,-0.03,187.6847,623.3073
6.354933,1298,-0.04,182.6347,624.0854
3.998304,1167,-0.03,188.7864,98.28378
7.094036,1744,-0.05,177.9786,636.4122
6.289248,1068,-0.04,126.3649,318.4978
